,country,total_power_plants,total_capacity_MW
0,http://powerplant.example.com/china,4235,1415067.4
1,http://powerplant.example.com/united_kingdom,2751,97155.27
2,http://powerplant.example.com/brazil,2360,147589.52
3,http://powerplant.example.com/france,2155,110615.99
4,http://powerplant.example.com/india,1589,316088.47
5,http://powerplant.example.com/germany,1309,112040.5
6,http://powerplant.example.com/canada,1159,143578.78
7,http://powerplant.example.com/spain,829,79035.13
8,http://powerplant.example.com/russia,545,228220.1
9,http://powerplant.example.com/japan,522,215365.84
10,http://powerplant.example.com/australia,486,65852.02
11,http://powerplant.example.com/portugal,469,14744.865
12,http://powerplant.example.com/czech_republic,462,16871.705
13,http://powerplant.example.com/italy,396,73095.055
14,http://powerplant.example.com/chile,315,22475.646
15,http://powerplant.example.com/norway,306,32551.0
16,http://powerplant.example.com/mexico,277,62365.906
17,http://powerplant.example.com/argentina,236,32913.08
18,http://powerplant.example.com/vietnam,236,41350.492
19,http://powerplant.example.com/thailand,196,39654.297
20,http://powerplant.example.com/poland,189,37902.0
21,http://powerplant.example.com/finland,185,11796.76
22,http://powerplant.example.com/indonesia,178,48751.418
23,http://powerplant.example.com/sweden,168,26418.701
24,http://powerplant.example.com/switzerland,168,13117.995
25,http://powerplant.example.com/turkey,163,51444.707
26,http://powerplant.example.com/south_korea,132,99472.67
27,http://powerplant.example.com/philippines,123,20719.3
28,http://powerplant.example.com/iran,107,61362.1
29,http://powerplant.example.com/south_africa,104,50422.695
30,http://powerplant.example.com/austria,103,11227.1
31,http://powerplant.example.com/greece,90,14658.651
32,http://powerplant.example.com/saudi_arabia,90,84341.56
33,http://powerplant.example.com/guatemala,76,3689.1006
34,http://powerplant.example.com/uruguay,73,4209.1196
35,http://powerplant.example.com/netherlands,71,16993.691
36,http://powerplant.example.com/belgium,69,13404.799
37,http://powerplant.example.com/romania,68,14646.899
38,http://powerplant.example.com/ukraine,64,48569.8
39,http://powerplant.example.com/egypt,62,34183.5
40,http://powerplant.example.com/pakistan,62,21455.0
41,http://powerplant.example.com/israel,59,14665.801
42,http://powerplant.example.com/algeria,59,15873.801
43,http://powerplant.example.com/bangladesh,57,11840.0
44,http://powerplant.example.com/malaysia,55,28794.5
45,http://powerplant.example.com/sri_lanka,48,3720.1
46,http://powerplant.example.com/denmark,47,8085.1997
47,http://powerplant.example.com/morocco,45,8697.56
48,http://powerplant.example.com/new_zealand,43,6674.55
49,http://powerplant.example.com/venezuela,43,31096.0
50,http://powerplant.example.com/bulgaria,43,9252.2
51,http://powerplant.example.com/honduras,40,2164.87
52,http://powerplant.example.com/myanmar,35,3987.1
53,http://powerplant.example.com/jordan,33,4703.5
54,http://powerplant.example.com/kazakhstan,33,18628.0
55,http://powerplant.example.com/peru,32,7432.1
56,http://powerplant.example.com/north_korea,31,9208.0
57,http://powerplant.example.com/slovakia,30,6230.86
58,http://powerplant.example.com/united_arab_emirates,30,30327.0
59,http://powerplant.example.com/iraq,28,18160.6
60,http://powerplant.example.com/tunisia,27,5052.2
61,http://powerplant.example.com/costa_rica,27,1968.3998
62,http://powerplant.example.com/bolivia,26,1563.12
63,http://powerplant.example.com/colombia,25,10924.0
64,http://powerplant.example.com/belarus,24,8534.9
65,http://powerplant.example.com/croatia,24,3274.5
66,http://powerplant.example.com/kenya,23,2485.9
67,http://powerplant.example.com/mauritius,23,989.269
68,http://powerplant.example.com/ecuador,22,4245.48
69,http://powerplant.example.com/bosnia_and_herzegovina,20,3985.5
70,http://powerplant.example.com/iceland,20,2484.6
71,http://powerplant.example.com/laos,20,4986.86
72,http://powerplant.example.com/georgia,19,3831.4
73,http://powerplant.example.com/sudan,19,2798.1104
74,http://powerplant.example.com/hungary,18,6290.7
75,http://powerplant.example.com/estonia,17,2541.9
76,http://powerplant.example.com/panama,17,1633.2001
77,http://powerplant.example.com/el_salvador,16,1418.4999
78,http://powerplant.example.com/nicaragua,16,863.39996
79,http://powerplant.example.com/uzbekistan,16,12640.0
80,http://powerplant.example.com/cambodia,16,1517.6
81,http://powerplant.example.com/papua_new_guinea,15,406.9
82,http://powerplant.example.com/zambia,15,2689.3372
83,http://powerplant.example.com/democratic_republic_of_the_congo,15,3057.04
84,http://powerplant.example.com/dominican_republic,15,1858.09
85,http://powerplant.example.com/nepal,14,587.94995
86,http://powerplant.example.com/singapore,14,13660.0
87,http://powerplant.example.com/angola,14,1071.18
88,http://powerplant.example.com/azerbaijan,14,5764.0
89,http://powerplant.example.com/cuba,14,3796.7998
90,http://powerplant.example.com/ethiopia,13,4023.9
91,http://powerplant.example.com/namibia,13,502.5
92,http://powerplant.example.com/nigeria,13,6260.0
93,http://powerplant.example.com/fiji,12,317.38
94,http://powerplant.example.com/libya,12,6231.0
95,http://powerplant.example.com/madagascar,12,359.93
96,http://powerplant.example.com/oman,12,6010.8
97,http://powerplant.example.com/qatar,12,10548.0
98,http://powerplant.example.com/serbia,12,7958.0
99,http://powerplant.example.com/rwanda,11,193.68001
100,http://powerplant.example.com/tanzania,11,994.5
101,http://powerplant.example.com/uganda,11,772.5
102,http://powerplant.example.com/jamaica,10,792.5
103,http://powerplant.example.com/senegal,10,696.16003
104,http://powerplant.example.com/tajikistan,10,5296.4
105,http://powerplant.example.com/afghanistan,9,300.55
106,http://powerplant.example.com/guinea,9,510.42
107,http://powerplant.example.com/kuwait,9,17829.5
108,http://powerplant.example.com/albania,8,1529.0
109,http://powerplant.example.com/kyrgyzstan,8,3634.0
110,http://powerplant.example.com/mongolia,8,904.0
111,http://powerplant.example.com/slovenia,8,2736.0
112,http://powerplant.example.com/armenia,8,3271.0
113,http://powerplant.example.com/cameroon,8,881.57996
114,http://powerplant.example.com/bahrain,8,7586.3
115,http://powerplant.example.com/lebanon,7,2070.3
116,http://powerplant.example.com/mauritania,7,315.804
117,http://powerplant.example.com/niger,7,167.2
118,http://powerplant.example.com/turkmenistan,7,3454.0
119,http://powerplant.example.com/yemen,7,1045.0
120,http://powerplant.example.com/burkina_faso,7,229.306
121,http://powerplant.example.com/gabon,6,446.81003
122,http://powerplant.example.com/ghana,6,2108.0
123,http://powerplant.example.com/lithuania,6,3490.8
124,http://powerplant.example.com/moldova,6,2914.0
125,http://powerplant.example.com/trinidad_and_tobago,6,2144.6
126,http://powerplant.example.com/bhutan,5,1482.2
127,http://powerplant.example.com/guyana,5,136.3
128,http://powerplant.example.com/latvia,5,2537.0
129,http://powerplant.example.com/malawi,5,369.1
130,http://powerplant.example.com/mali,4,311.5
131,http://powerplant.example.com/burundi,4,57.17
132,http://powerplant.example.com/cape_verde,4,92.805
133,http://powerplant.example.com/equatorial_guinea,3,150.5
134,http://powerplant.example.com/montenegro,3,885.5
135,http://powerplant.example.com/mozambique,3,2285.0
136,http://powerplant.example.com/paraguay,3,8760.0
